file,color
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6692.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,lime
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4085.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_3926.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4091.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2386.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2386.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2386.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2386.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2386.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_483.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,navy
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4907.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,yellow
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6876.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6862.jpg,red
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6862.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_6862.jpg,navy
